City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Hithadhoo,MV,2020-12-02 01:58:24,-0.6,73.08,82.17,74,100,12.59
109,Jieshi,CN,2020-12-02 01:58:24,22.81,115.83,64.99,68,0,1.99
110,Georgetown,MY,2020-12-02 01:57:58,5.41,100.34,80.6,78,20,4.7
111,Severo-Kurilsk,RU,2020-12-02 01:58:24,50.68,156.12,30.18,91,66,19.08
112,Bredasdorp,ZA,2020-12-02 01:58:24,-34.53,20.04,53.6,76,100,5.82
113,Ruidoso,US,2020-12-02 01:55:42,33.33,-105.67,39.2,21,20,12.75
114,Srednekolymsk,RU,2020-12-02 01:58:24,67.45,153.68,-14.73,81,66,3.8
115,Kaitangata,NZ,2020-12-02 01:58:24,-46.28,169.85,64.99,55,69,3.0
116,Usinsk,RU,2020-12-02 01:58:25,65.99,57.53,21.92,96,100,20.94
117,Broome,US,2020-12-02 01:55:35,42.25,-75.83,34.0,80,90,12.75
118,Inhambane,MZ,2020-12-02 01:58:25,-23.86,35.38,73.58,88,96,7.31
119,Cabinda,AO,2020-12-02 01:58:25,-5.55,12.2,78.42,87,100,7.45
120,Puerto Ayora,EC,2020-12-02 01:58:25,-0.74,-90.35,71.01,89,64,1.99
121,Olinda,BR,2020-12-02 01:58:25,-8.01,-34.86,78.8,74,40,9.17
122,Maragogi,BR,2020-12-02 01:58:25,-9.01,-35.22,76.77,82,18,7.58
123,Port Alfred,ZA,2020-12-02 01:58:25,-33.59,26.89,60.08,71,75,17.54
124,Juneau,US,2020-12-02 01:56:28,58.3,-134.42,48.2,87,90,32.21
125,Yellowknife,CA,2020-12-02 01:58:25,62.46,-114.35,24.8,92,20,19.46
126,Cherskiy,RU,2020-12-02 01:58:25,68.75,161.3,-16.71,87,1,6.64
127,Port Hardy,CA,2020-12-02 01:58:25,50.7,-127.42,44.6,86,20,8.05
128,Lago Da Pedra,BR,2020-12-02 01:58:26,-4.33,-45.17,75.06,92,12,3.44
129,Longhua,CN,2020-12-02 01:58:26,23.61,114.19,62.87,55,0,4.79
130,Henties Bay,NA,2020-12-02 01:58:26,-22.12,14.28,55.0,88,14,5.64
131,Hirara,JP,2020-12-02 01:58:26,24.8,125.28,75.2,73,75,18.34
132,Krasnyy Yar,RU,2020-12-02 01:58:26,46.53,48.35,19.4,85,75,11.18
133,Castro,BR,2020-12-02 01:58:26,-24.79,-50.01,63.77,96,67,9.24
134,Narsaq,GL,2020-12-02 01:58:26,60.92,-46.05,14.0,47,4,8.05
135,Airai,TL,2020-12-02 01:58:26,-8.93,125.41,77.2,64,86,1.79
136,Owando,CG,2020-12-02 01:58:26,-0.48,15.9,71.53,88,82,2.82
137,Vila Velha,BR,2020-12-02 01:58:26,-20.33,-40.29,78.01,83,0,11.41
138,Kholm,RU,2020-12-02 01:58:26,59.27,32.85,31.08,97,100,7.87
139,Kandiari,PK,2020-12-02 01:58:26,26.92,68.52,62.49,27,32,3.06
140,Vanavara,RU,2020-12-02 01:58:26,60.34,102.28,-2.54,91,68,8.61
141,Kamenka,RU,2020-12-02 01:58:27,51.32,42.77,17.96,90,0,10.56
142,Norman Wells,CA,2020-12-02 01:58:27,65.28,-126.83,1.4,84,20,2.77
143,Khandbari,NP,2020-12-02 01:58:27,27.37,87.2,61.74,49,3,1.59
144,Vardo,NO,2020-12-02 01:58:27,70.37,31.11,32.18,89,84,14.74
145,Labuhan,ID,2020-12-02 01:58:27,-6.88,112.21,83.91,73,81,1.07
146,Bambous Virieux,MU,2020-12-02 01:58:27,-20.34,57.76,75.99,100,75,5.82
147,Kodiak,US,2020-12-02 01:53:56,57.79,-152.41,41.0,93,90,5.44
148,Giyani,ZA,2020-12-02 01:58:27,-23.3,30.72,72.5,83,73,15.43
149,Swift Current,CA,2020-12-02 01:58:27,50.28,-107.8,21.2,79,1,13.87
150,Tuatapere,NZ,2020-12-02 01:58:27,-46.13,167.68,57.99,56,62,14.0
151,Namibe,AO,2020-12-02 01:58:27,-15.2,12.15,68.7,70,32,7.05
152,Arman,RU,2020-12-02 01:58:27,59.7,150.17,10.56,90,66,5.35
153,Bilibino,RU,2020-12-02 01:58:27,68.05,166.44,-17.12,85,6,1.63
154,Kavieng,PG,2020-12-02 01:58:28,-2.57,150.8,85.39,67,98,8.81
155,Lyubech,UA,2020-12-02 01:58:28,51.7,30.66,29.97,98,100,8.48
156,Lompoc,US,2020-12-02 01:58:28,34.64,-120.46,55.4,76,1,5.82
157,Kourou,GF,2020-12-02 01:58:28,5.16,-52.65,77.0,100,0,1.12
158,Victoria,HK,2020-12-02 01:58:28,22.29,114.16,66.99,68,0,1.01
159,Tual,ID,2020-12-02 01:58:28,-5.67,132.75,83.37,69,46,2.71
160,Saint George,US,2020-12-02 01:58:28,37.1,-113.58,51.8,20,1,17.22
161,Acapulco,MX,2020-12-02 01:56:11,16.86,-99.89,82.4,69,75,4.7
162,Faya,SA,2020-12-02 01:58:28,18.39,42.45,51.8,100,0,3.09
163,Donauworth,DE,2020-12-02 01:58:28,48.7,10.8,32.0,96,90,5.82
164,Florianopolis,BR,2020-12-02 01:53:37,-27.61,-48.5,73.99,94,75,2.24
165,Bluff,NZ,2020-12-02 01:58:29,-46.6,168.33,57.99,56,100,14.0
166,Moratuwa,LK,2020-12-02 01:54:06,6.77,79.88,77.0,94,40,3.36
167,Turukhansk,RU,2020-12-02 01:58:29,65.82,87.98,7.81,95,100,18.61
168,Mackay,AU,2020-12-02 01:58:29,-21.15,149.2,91.0,58,10,13.87
169,Venice,US,2020-12-02 01:58:29,27.1,-82.45,48.2,66,1,4.7
170,Bilma,NE,2020-12-02 01:58:29,18.69,12.92,62.28,26,0,10.83
171,Butaritari,KI,2020-12-02 01:58:29,3.07,172.79,82.06,78,55,10.83
172,Arauco,CL,2020-12-02 01:58:29,-37.25,-73.32,55.4,66,0,17.22
173,Boyolangu,ID,2020-12-02 01:58:29,-8.12,111.89,83.98,69,50,0.94
174,Tuktoyaktuk,CA,2020-12-02 01:58:29,69.45,-133.04,3.2,84,75,9.17
175,Vostok,RU,2020-12-02 01:58:29,46.49,135.88,7.29,91,63,6.06
176,Saldanha,ZA,2020-12-02 01:58:29,-33.01,17.94,57.2,71,0,11.41
177,Shingu,JP,2020-12-02 01:58:30,33.73,135.98,57.2,54,20,3.36
178,Marigot,MF,2020-12-02 01:58:30,18.07,-63.08,79.0,74,20,3.36
179,Izhma,RU,2020-12-02 01:58:30,65.01,53.91,22.86,94,100,10.04
180,Sorong,ID,2020-12-02 01:57:46,-0.88,131.25,84.09,66,87,7.81
181,Pevek,RU,2020-12-02 01:58:30,69.7,170.31,-9.96,88,62,7.81
182,Mayo,US,2020-12-02 01:58:30,38.89,-76.51,42.01,48,40,12.75
183,Tapa,EE,2020-12-02 01:58:30,59.26,25.96,36.0,80,20,10.29
184,Howard Springs,AU,2020-12-02 01:58:30,-12.5,131.05,91.99,62,75,5.82
185,Galle,LK,2020-12-02 01:58:30,6.04,80.22,77.86,86,100,17.87
186,Mbigou,GA,2020-12-02 01:58:30,-1.9,11.91,67.32,98,96,2.51
187,Aitape,PG,2020-12-02 01:58:30,-3.14,142.35,83.3,75,67,3.78
188,Mushie,CD,2020-12-02 01:58:30,-3.02,16.9,70.52,94,93,2.8
189,Faanui,PF,2020-12-02 01:58:31,-16.48,-151.75,81.07,76,10,14.72
190,Whitianga,NZ,2020-12-02 01:58:31,-36.83,175.7,65.44,53,4,7.96
191,Kokstad,ZA,2020-12-02 01:58:31,-30.55,29.42,48.83,87,90,5.57
192,Zyryanka,RU,2020-12-02 01:58:31,65.75,150.85,-14.26,83,73,8.03
193,Torbay,CA,2020-12-02 01:58:31,47.67,-52.73,44.01,93,90,28.86
194,Yining,CN,2020-12-02 01:58:31,29.04,114.56,46.04,77,100,3.18
195,Grand Baie,MU,2020-12-02 01:58:31,-20.02,57.58,75.99,87,5,1.99
196,Phan Thiet,VN,2020-12-02 01:58:31,10.93,108.1,79.95,74,1,15.03
197,Schmallenberg,DE,2020-12-02 01:58:31,51.15,8.3,35.01,96,67,1.86
198,Waddan,LY,2020-12-02 01:58:31,29.16,16.14,55.45,78,0,3.67
199,Santa Fe,AR,2020-12-02 01:57:48,-31.63,-60.7,77.0,73,2,4.0
200,Boralday,KZ,2020-12-02 01:58:31,43.36,76.86,15.8,85,40,1.41
201,Ponta Do Sol,PT,2020-12-02 01:58:31,32.67,-17.1,64.4,82,40,6.93
202,Bergen,NO,2020-12-02 01:58:32,60.39,5.33,43.0,70,75,26.4
203,Portland,US,2020-12-02 01:54:31,45.52,-122.68,46.99,68,0,8.46
204,Nanortalik,GL,2020-12-02 01:58:32,60.14,-45.24,27.79,84,3,31.79
205,Tura,IN,2020-12-02 01:58:32,25.52,90.22,66.79,74,0,1.92
206,Gazli,UZ,2020-12-02 01:58:32,40.13,63.45,28.56,88,0,4.5
207,Marevo,RU,2020-12-02 01:58:32,57.31,32.08,29.53,93,100,2.95
208,Ouegoa,NC,2020-12-02 01:58:32,-20.35,164.43,81.86,50,1,10.83
209,Abu Dhabi,AE,2020-12-02 01:54:40,24.47,54.37,68.0,88,0,3.36
210,Huilong,CN,2020-12-02 01:58:32,31.81,121.66,55.99,69,90,10.18
211,Oktyabrskiy,RU,2020-12-02 01:58:32,54.48,53.47,5.07,91,0,2.57
212,Roald,NO,2020-12-02 01:58:32,62.58,6.13,46.4,49,93,19.46
213,Sao Joao Da Barra,BR,2020-12-02 01:58:32,-21.64,-41.05,75.13,92,100,5.5
214,Charters Towers,AU,2020-12-02 01:58:33,-20.1,146.27,95.58,31,34,13.27
215,San Pedro,PH,2020-12-02 01:58:33,14.35,121.02,86.0,69,75,8.05
216,Mayya,RU,2020-12-02 01:58:33,61.73,130.28,-11.2,76,40,6.71
217,Provideniya,RU,2020-12-02 01:58:33,64.38,-173.3,15.8,61,0,17.9
218,Plettenberg Bay,ZA,2020-12-02 01:58:33,-34.05,23.37,56.93,75,51,8.19
219,Codrington,AU,2020-12-02 01:58:33,-38.27,141.97,58.5,56,6,14.41
220,Claveria,PH,2020-12-02 01:58:33,18.61,121.08,77.5,84,89,19.39
221,Lavrentiya,RU,2020-12-02 01:58:33,65.58,-171.0,8.94,90,0,13.82
222,Yeppoon,AU,2020-12-02 01:58:33,-23.13,150.73,93.2,41,23,4.7
223,Kiboga,UG,2020-12-02 01:58:34,0.92,31.77,61.09,91,85,1.92
224,College,US,2020-12-02 01:58:34,64.86,-147.8,37.4,73,75,6.93
225,Yavaros,MX,2020-12-02 01:58:34,26.7,-109.52,70.0,57,0,4.0
226,Mahina,PF,2020-12-02 01:58:34,-17.51,-149.49,86.0,62,20,6.93
227,Okahandja,NA,2020-12-02 01:58:34,-21.98,16.92,68.0,8,0,5.82
228,Ucluelet,CA,2020-12-02 01:58:34,48.93,-125.55,39.99,93,20,2.24
229,Kahului,US,2020-12-02 01:58:34,20.89,-156.47,82.4,54,40,13.87
230,Longyearbyen,SJ,2020-12-02 01:58:34,78.22,15.64,1.29,88,93,1.52
231,Puerto Narino,CO,2020-12-02 01:58:34,-3.77,-70.38,77.0,100,75,3.36
232,Barrow,US,2020-12-02 01:58:34,71.29,-156.79,5.0,77,90,18.34
233,Almaznyy,RU,2020-12-02 01:58:35,48.04,40.05,26.6,79,75,20.13
